Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
3984 22095-2,Francesco Baccini,Le Donne Di Modena,EastWest,"CD, Comp",,1998,4758153,Pop,2015-03-04 00:58:46,Near Mint (NM or M-),Near Mint (NM or M-),
"Ebullition #30.5, 004, #4",Julia (17),Julia,"Ebullition Records (2), Rivers End, Rivers End","LP, Album",,1994,1154630,"Hard Core, Punk",2015-10-20 03:07:34,Near Mint (NM or M-),Near Mint (NM or M-),
BB.LP. 87114,Orchestra Mario Robbiani,Vol.9 - Più Innamorato Di Così...,Edizioni Bang Bang,"LP, Promo",,0,2838942,Pop,2015-03-18 01:28:21,Near Mint (NM or M-),Near Mint (NM or M-),
ED 137,Moby Grape,Moby Grape,Edsel Records,"LP, Mono, RE",,1984,1645927,Rock,2015-10-21 06:46:58,Near Mint (NM or M-),Near Mint (NM or M-),
ED 289,The Pretty Things,Parachute,Edsel Records,"LP, Album, RE",,1988,3584353,Rock,2015-10-14 03:23:48,Near Mint (NM or M-),Near Mint (NM or M-),
EELP 013,Steeplejack (2),Pow Wow,Electric Eye Records,"LP, Album",,1988,2971966,Garage-Punk,2015-10-06 03:34:07,Near Mint (NM or M-),Near Mint (NM or M-),
K 42002,The Incredible String Band,The Hangman's Beautiful Daughter,Elektra,"LP, Album",,1976,1388259,Folk-Rock,2015-09-29 02:01:17,Near Mint (NM or M-),Near Mint (NM or M-),
K 42011,Love,Da Capo,Elektra,"LP, Album, RE",,1981,6456366,Rock,2015-10-21 07:51:45,Near Mint (NM or M-),Near Mint (NM or M-),
W 42016,The Doors,Strange Days,Elektra,"LP, Album, RP",,1977,2777523,Rock,2015-10-13 08:57:30,Near Mint (NM or M-),Near Mint (NM or M-),
WPCR-12716,The Doors,The Doors,Elektra,"CD, Album, Ltd, RE, Pap",,2007,1833692,Rock,2015-03-04 01:53:23,Near Mint (NM or M-),Near Mint (NM or M-),
WPCR-12721,The Doors,L.A. Woman,Elektra,"CD, Album, Ltd, RE, Pap",,2007,2210920,Rock,2015-03-04 01:56:50,Near Mint (NM or M-),Near Mint (NM or M-),
"42 055, EKS-74071",The Stooges,Fun House,"Elektra, Elektra","LP, Album, RP, Gat",,1977,4169968,Uncategorized,2015-09-20 09:15:37,Near Mint (NM or M-),Near Mint (NM or M-),
"7559-61082-1, EKT 88",The Doors,In Concert,"Elektra, Elektra","3xLP, Comp, RM",,1991,869261,Rock,2015-09-07 03:08:13,Near Mint (NM or M-),Very Good Plus (VG+),
"96 0345-1, 960 345-1",The Doors,The Best Of The Doors,"Elektra, Elektra","2xLP, Comp, RM, Gat",,1985,2279451,Rock,2015-09-07 03:05:27,Near Mint (NM or M-),Very Good Plus (VG+),
"242 182-1, ELV2",Primal Scream,Sonic Flower Groove,"Elevation (2), Elevation (2)","LP, Album",,1987,908231,Rock,2015-09-29 03:40:26,Near Mint (NM or M-),Near Mint (NM or M-),
"31851, EMB 31851",The Byrds,The Original Singles 1965-1967 Volume 1,"Embassy, Embassy","LP, Mono, Comp",,1980,1936173,Folk-Rock,2015-10-06 02:48:48,Near Mint (NM or M-),Near Mint (NM or M-),
06 1187067,Franco Battiato,No Time No Space,EMI,"7""",,1985,3890110,Pop,2015-04-17 03:51:54,Near Mint (NM or M-),Near Mint (NM or M-),
0946 3 55695 2 0,David Gilmour,On An Island,EMI,"CD, Album, Dig",,2006,773724,Rock,2015-03-05 23:47:42,Mint (M),Mint (M),
3C 064-18312,Alan Sorrenti,Figli Delle Stelle,EMI,"LP, Album",,1977,1728992,POP ITALIANO,2015-09-08 13:55:10,Near Mint (NM or M-),Near Mint (NM or M-),
3C006-18335,Gil Ventura,Topolino / Dick Duck,EMI,"7""",,1978,6400448,Pop,2015-04-17 05:15:46,Near Mint (NM or M-),Near Mint (NM or M-),
"7243 5 23772 2 0, 5 23772 2, 523 7722",Various,Too Much Two Tone,"EMI Gold, EMI Gold, EMI Gold","CD, Comp",,2000,1659845,Reggae,2015-03-04 04:32:56,Near Mint (NM or M-),Near Mint (NM or M-),
1A 062-06297,The Shadows,20 Golden Greats,EMI-Bovema Holland,"LP, Comp",,1977,6415957,Rock,2015-10-16 00:27:22,Near Mint (NM or M-),Very Good Plus (VG+),
"5099930869721, 308 6972",Talking Heads,Naked,"EMI, EMI","CD, Album, RE",,2009,2942139,Rock,2015-03-04 01:47:21,Near Mint (NM or M-),Near Mint (NM or M-),
"7243 8 59506 2 9, CDDEEPP 3",Deep Purple,Machine Head (25th Anniversary Edition),"EMI, EMI","CD, Album + CD, Album, RM",,1997,586589,Hard Rock,2015-03-03 04:45:26,Near Mint (NM or M-),Near Mint (NM or M-),
07243-582780-2-6,Kevin Ayers,Bananamour,"EMI, Harvest","CD, Album, RM",,2003,2158863,Funk-Soul,2015-03-03 04:53:33,Near Mint (NM or M-),Near Mint (NM or M-),
00946 3810202 1,Subsonica,Microchip Emozionale,"EMI, Virgin","CD, Album",,2000,3848435,Electronic,2015-03-04 03:58:19,Near Mint (NM or M-),Near Mint (NM or M-),
"3C 048 - 50611, C 048-50611",The Golden Gate Quartet,Portrait,"Emidisc (2), Emidisc (2)","LP, Comp",,1970,6961515,bLUES,2015-09-08 00:03:42,Near Mint (NM or M-),Near Mint (NM or M-),1970 Italian issue
25·3P-145~6,Judas Priest,Priest In The East (Live In Japan),Epic,"LP, Album + 7"", EP",,1979,2284630,Heavy Metal,2015-09-29 03:23:51,Near Mint (NM or M-),Near Mint (NM or M-),
BXN 26413,Jeff Beck,Truth,Epic,"LP, Album, RP",,1973,2304296,Hard Rock,2015-09-29 09:52:00,Near Mint (NM or M-),Near Mint (NM or M-),
EPC 25237,The Stranglers,Feline,Epic,"LP, Album",,1982,369068,New Wave,2015-10-05 08:24:38,Near Mint (NM or M-),Near Mint (NM or M-),
"BG 33779, E 33780, E 33781",Jeff Beck,Truth/Beck-ola,"Epic, Epic, Epic","2xLP, Comp",,1975,1738323,Rock,2015-10-13 08:47:08,Near Mint (NM or M-),Near Mint (NM or M-),
82796902752,Sly & The Family Stone,Fresh,"Epic, Legacy","CD, Album, Dlx, Ltd, RE, RM, Dig",,2007,1098076,Funk-Soul,2015-03-04 02:04:09,Near Mint (NM or M-),Near Mint (NM or M-),
86435-1,NOFX,Punk In Drublic,Epitaph,"LP, Album",,1994,419987,Punk,2015-10-06 01:38:42,Near Mint (NM or M-),Near Mint (NM or M-),
12041,The T-Bones (2) With Gary Farr (2),Dem Bones Dem Bones Dem T-Bones,Eva Records (2),"LP, Comp",,1984,3800831,bLUES,2015-10-13 13:24:29,Near Mint (NM or M-),Near Mint (NM or M-),
EX 25,The Flesh Eaters,Forever Came Today,"Expanded Music, Slash","LP, Album",,1982,2250097,Punk,2015-09-22 10:24:52,Near Mint (NM or M-),Near Mint (NM or M-),
EXCDM 37,The Emotions,Flowers,Expansion,CD,,2012,3575177,Funk-Soul,2015-03-04 00:36:10,Near Mint (NM or M-),Near Mint (NM or M-),
P 7355,Jo Chiarello,Ma Io Vi Mollo E Vado Al Mare / Stai Con Me,F1 Team,"7""",,1985,2897764,Pop,2015-04-17 05:22:02,Near Mint (NM or M-),Near Mint (NM or M-),
FBNL 8,New Order,Everythings Gone Green,Factory Benelux,"12"", Single",,1981,1197986,New Wave,2015-10-16 03:40:10,Near Mint (NM or M-),Near Mint (NM or M-),
SLPM 37095,Pataky Attila - Slamovits István,Pataky - Slamovits,Favorit,LP,,1988,6663276,Hard Rock,2015-10-15 07:56:08,Near Mint (NM or M-),Near Mint (NM or M-),
827 231-1,The Cure,The Head On The Door,Fiction Records,"LP, Album",,1985,1070182,New Wave,2015-09-07 01:41:32,Near Mint (NM or M-),Near Mint (NM or M-),
888 688-7,The Cure,Catch,Fiction Records,"7"", Single",,1987,1715725,New Wave,2015-03-17 04:12:13,Near Mint (NM or M-),Very Good Plus (VG+),
BLAZE 14T,The Rose Of Avalanche,Velveteen,Fire Records,"12""",,1986,1653469,Goth-Rock,2015-10-14 10:39:15,Near Mint (NM or M-),Near Mint (NM or M-),
LPX 185,Gianluca Mosole,Tepore,Fonit Cetra,"LP, Album",,1987,2803732,Jazz,2015-10-13 22:42:53,Very Good Plus (VG+),Very Good Plus (VG+),
SP 1828,Eugenio Finardi,Vorrei Svegliarti,Fonit Cetra,"7""",,1985,4634536,Pop,2015-04-17 03:58:20,Near Mint (NM or M-),Near Mint (NM or M-),
"SFC 102, cetra / sfc 102",Fred Buscaglione,Fred Buscaglione,"Fonit Cetra, Fonit Cetra","LP, Comp",,1976,3590421,Pop,2015-04-14 05:01:48,Near Mint (NM or M-),Mint (M),
6438 215,The Pretty Things,Emotions,Fontana,"LP, Album, RE",,1978,2805416,Uncategorized,2015-10-14 03:19:29,Near Mint (NM or M-),Near Mint (NM or M-),
"FRM 1113, none",Major Harris,My Way,"Friday Music, Classic Soul Series (2)","CD, Album, RE, RM",,2009,4533831,Funk-Soul,2015-03-04 00:56:38,Near Mint (NM or M-),Near Mint (NM or M-),
FLP 1002,Circle Jerks,Group Sex,Frontier Records,"LP, Album, RP",,1982,1417525,"Hard Core, Punk",2015-09-29 08:33:01,Near Mint (NM or M-),Near Mint (NM or M-),
FLP 1011,Suicidal Tendencies,Suicidal Tendencies,Frontier Records,"LP, Album",,1983,393819,"Hard Core, Punk",2015-10-05 08:07:11,Near Mint (NM or M-),Near Mint (NM or M-),
FLP 1035,Thin White Rope,Squatter's Rights,Frontier Records,"12"", EP",,1991,1074926,Indie Rock,2015-10-07 02:41:39,Near Mint (NM or M-),Near Mint (NM or M-),
"SAVE 75, none",Red Temple Spirits,"""If Tomorrow I Were Leaving For Lhasa, I Wouldn't Stay A Minute More...""","Fundamental, Nate Starkman & Son","LP, Album",,1989,1561697,Goth-Rock,2015-10-15 09:23:44,Near Mint (NM or M-),Near Mint (NM or M-),
GET-51273,Weldon Irvine,Cosmic Vortex (Justice Divine),Get On Down,"CD, Album, RE, Dig",,2011,2971677,Funk-Soul,2015-03-04 02:09:40,Near Mint (NM or M-),Near Mint (NM or M-),
GRI 6006-0,Dag Nasty,All Ages Show,Giant Records (2),"7"", Single",,1987,452414,Punk,2015-10-22 02:23:41,Mint (M),Near Mint (NM or M-),
013 043-2,Chet Baker,Broken Wing,Gitanes Jazz Productions,"CD, Alb",,2000,1567325,Jazz,2015-03-04 02:02:51,Near Mint (NM or M-),Near Mint (NM or M-),
Glalp 010,David J,Crocodile Tears And The Velvet Cosh,Glass Records (2),"LP, Album",,1985,1111772,Alternative Rock,2015-10-20 02:56:46,Near Mint (NM or M-),Near Mint (NM or M-),
GLALP 017,David J,On Glass,Glass Records (2),"LP, Comp",,1986,1111591,New Wave,2015-10-20 02:46:08,Near Mint (NM or M-),Near Mint (NM or M-),
