Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
64 7916531,Paul McCartney,Flowers In The Dirt,"MPL (2), Parlophone","LP, Album",,1989,1233046,Rock,2015-04-16 08:11:28,Near Mint (NM or M-),Near Mint (NM or M-),
68.023,George Duke,Feel,MPS Records,"LP, Album, RP",,0,1788002,Funk-Soul,2015-09-08 01:32:12,Near Mint (NM or M-),Very Good Plus (VG+),
"68.025, MPS 15.448",George Duke,The Aura Will Prevail,"MPS Records, MPS Records","LP, Album, RE",,0,2725653,Funk-Soul,2015-09-08 01:17:12,Near Mint (NM or M-),Near Mint (NM or M-),
MDO 58705,Firefly (2),Firefly 3,Mr. Disc Organization,"LP, Album",,1982,534711,Italodisco,2015-09-08 10:08:37,Near Mint (NM or M-),Near Mint (NM or M-),
7 MUTE 032,Nick Cave & The Bad Seeds,In The Ghetto,Mute,"7"", Single",,1984,424291,Alternative Rock,2015-10-22 07:50:36,Mint (M),Near Mint (NM or M-),
MUTE 192,Nick Cave & The Bad Seeds,Into My Arms,Mute,"7""",,1997,505062,Acoustic,2015-10-22 07:40:37,Near Mint (NM or M-),Near Mint (NM or M-),
STUMM 64,Depeche Mode,Violator,Mute,"LP, Album",,1990,2078963,Electronic,2015-09-10 08:46:15,Mint (M),Mint (M),
STUMM72,Nitzer Ebb,Showtime,Mute,"LP, Album",,1990,98239,Electronic,2015-10-16 03:29:36,Near Mint (NM or M-),Near Mint (NM or M-),
540074,Fad Gadget,Gag,"Mute, Vogue Productions","LP, Album",,1984,410962,New Wave,2015-09-23 00:36:52,Near Mint (NM or M-),Near Mint (NM or M-),
NLP 11009,Jimi Hendrix,In Memoriam - That Unforgettable Jimi Hendrix,Napoleon,"LP, Comp",,1973,2450393,Rock,2015-09-07 04:39:13,Near Mint (NM or M-),Very Good Plus (VG+),RARE EDITION COBRA RECORD LG LP 309
We Buy 7,Human Hands,Hereafter,Nate Starkman & Son,"LP, Comp",,1988,2111936,Indie Rock,2015-10-20 01:16:04,Near Mint (NM or M-),Near Mint (NM or M-),
NEL 6018,Black Sabbath,Sabotage,NEMS,"LP, Album",,1980,713017,Uncategorized,2015-09-20 05:57:15,Near Mint (NM or M-),Near Mint (NM or M-),
BAD VC 62,Joy Of Life,Enjoy,New European Recordings,"12"", MiniAlbum",,1985,457485,New Wave,2015-10-20 02:24:39,Near Mint (NM or M-),Near Mint (NM or M-),
ROSE 100,Various,Play New Rose For Me,New Rose Records,"2xLP, Comp",,1986,1692494,Rock,2015-10-07 07:14:41,Near Mint (NM or M-),Near Mint (NM or M-),
ROSE 113,Tav Falco's Panther Burns,The World We Knew,New Rose Records,"LP, Album, Gat",,1987,1781735,Garage-Punk,2015-09-22 01:14:26,Near Mint (NM or M-),Near Mint (NM or M-),
NO 203,New Order,One Sweat Night,Not On Label (New Order),"LP, Unofficial, W/Lbl",,0,1857384,New Wave,2015-10-16 03:34:59,Near Mint (NM or M-),Near Mint (NM or M-),
PL 75190 (2),Lucio Battisti,All The Best,Numero Uno,"2xLP, Comp, Gat",,1991,3957165,POP ITALIANO,2015-09-09 03:06:26,Mint (M),Mint (M),
ZN 50144,Lucio Battisti,I Giardini Di Marzo,Numero Uno,"7""",,1972,2714935,Pop,2015-03-05 00:58:12,Near Mint (NM or M-),Near Mint (NM or M-),
ZNLN 33003,Lucio Battisti,Il Meglio Di Lucio Battisti Vol. 2,Numero Uno,"LP, Comp",,1976,2251255,Pop,2015-04-14 06:54:34,Near Mint (NM or M-),Near Mint (NM or M-),
31C 062 421209,Fernando Mendes,O Internato,Odeon,"LP, Album",,1980,2936552,Pop,2015-04-16 07:38:29,Near Mint (NM or M-),Near Mint (NM or M-),
ON-U LP56,Dub Syndicate,Stoned Immaculate,On-U Sound,"LP, Album",,1992,173280,Reggae,2015-06-21 04:17:06,Near Mint (NM or M-),Very Good Plus (VG+),
OUT ST 25015,Bob Marley & The Wailers,African Herbsman,OUT (2),"LP, Album",,1979,2824137,Reggae,2015-09-07 08:57:58,Very Good Plus (VG+),Very Good Plus (VG+),
"OLLP 5232 AS, OLLP 5232",The Yardbirds,For Your Love,"Outline Records, Outline Records","LP, Album, RE",,1982,2679353,bLUES,2015-10-13 13:06:40,Near Mint (NM or M-),Very Good (VG),
OX/3158,Small Faces,Ogdens' Nut Gone Flake,Oxford,"LP, Album, RE",,1980,3182274,Rock,2015-10-14 05:52:42,Very Good Plus (VG+),Very Good Plus (VG+),
OX/3191,Rettore,Brivido Divino,Oxford,"LP, Album, RE",,1981,985630,POP ITALIANO,2015-09-09 05:47:25,Very Good Plus (VG+),Very Good Plus (VG+),
92 5577-1,Prince,"Sign ""O"" The Times",Paisley Park,"2xLP, Album",,1987,861842,Funk-Soul,2015-09-08 02:13:27,Mint (M),Mint (M),"SPECIAL EDITION WITH STICKER ""BLUE HEART"" ON CELLOPHANE VERY RARE"
QMSP 16423,The Beatles,Lady Madonna,Parlophon,"7""",,1968,2664351,Rock,2015-03-05 00:53:00,Very Good Plus (VG+),Very Good (VG),
825646331314,Damon Albarn,Everyday Robots,Parlophone,"CD, Album",,2014,5641168,Pop,2015-03-04 02:01:46,Near Mint (NM or M-),Near Mint (NM or M-),
"5099969942617, PCS 7027",The Beatles,Sgt. Pepper's Lonely Hearts Club Band,"Parlophone, Parlophone","LP, Album, RE, RM, 180",,2012,4020570,Rock,2015-09-20 06:16:42,Mint (M),Mint (M),
12X45-6,Tanya Winley / Harlem Underground Band,Vicious Rap,Paul Winley Records,"12"", RE",,0,2235278,Hip-Hop,2015-06-21 03:11:10,Near Mint (NM or M-),Near Mint (NM or M-),
PR 7170,"Don Menza With Chuck Findley, Bill Reichenbach (2), Frank Strazzeri, Frank De La Rosa, John Dentz",Horn Of Plenty,Pausa Records,"LP, Album",,1985,4600561,Jazz,2015-09-16 05:48:54,Mint (M),Mint (M),SEALED
PR 7185,Les Hooper,Hoopla II,Pausa Records,"LP, Album",,0,3094323,Jazz,2015-09-11 00:35:51,Mint (M),Mint (M),
PLD. A. 5035,Mina (3),...Del Mio Meglio,PDU,"LP, Comp",,1971,2940840,POP ITALIANO,2015-09-09 13:30:30,,,
Pld. L 6036,Mina (3),Minacantalucio,PDU,"LP, Album",,1975,3317430,POP ITALIANO,2015-09-09 13:24:05,Mint (M),Mint (M),
